Código da IES;Nome da IES;Sigla da IES;Org. Acadêmica;Categ. Administrativa;UF da IES;Nº de Cursos com CPC no Triênio;alfa (Proporção de Graduandos);Conceito médio da Graduação;beta (Proporção de Mestrandos - Equivalente);Conceito Médio do Mestrado;gama (Proporção de Doutorandos - Equivalente);Conceito Médio do doutorado;IGC (Contínuo);IGC (Faixa)
4197;FACULDADE ALIANÇA;FACE;Faculdade;Privada Com Fins Lucrativos;PI;4;1;2,387207666;0;0;0;0;2,387207666;3
4198;FACULDADE MINEIRENSE;FAMA;Faculdade;Privada Com Fins Lucrativos;GO;6;1;2,400405825;0;0;0;0;2,400405825;3
4199;Faculdade JK Brasília - Recanto das Emas II;;Faculdade;Privada Sem Fins Lucrativos;DF;1;1;2,420332319;0;0;0;0;2,420332319;3
4201;FACULDADE DE ENSINO SUPERIOR DO NORDESTE;FAESNE;Faculdade;Privada Com Fins Lucrativos;PB;2;1;2,32064572;0;0;0;0;2,32064572;3
4209;FACULDADE DE TECNOLOGIA CÉSAR LATTES;;Faculdade;Privada Com Fins Lucrativos;SP;0;NA;0;0;0;0;0;NA;SC
4218;FACULDADE PEDRO LEOPOLDO;FPL;Faculdade;Privada Sem Fins Lucrativos;MG;4;0,787735849;2,502489274;0,212264151;4;0;0;2,820357116;3
4219;INSTITUTO SUPERIOR DE EDUCAÇÃO PROFESSORA NAIR FORTES ABU-MERHY;ISEFOR;Faculdade;Privada Sem Fins Lucrativos;MG;2;1;1,750894688;0;0;0;0;1,750894688;2
4251;FACULDADE PITÁGORAS DE TECNOLOGIA DE BELO HORIZONTE;PIT-FATEC;Faculdade;Privada Com Fins Lucrativos;MG;7;1;2,49898391;0;0;0;0;2,49898391;3
4255;FACULDADES INTEGRADAS DE CACOAL;UNESC;Faculdade;Privada Sem Fins Lucrativos;RO;13;1;2,459639682;0;0;0;0;2,459639682;3
4256;FACULDADES INTEGRADAS PITÁGORAS;FIP-MOC;Faculdade;Privada Com Fins Lucrativos;MG;13;1;2,994781274;0;0;0;0;2,994781274;4
4257;INSTITUTO DE FILOSOFIA E TEOLOGIA DE GOIÁS;IFITEG;Faculdade;Privada Sem Fins Lucrativos;GO;2;1;2,694808067;0;0;0;0;2,694808067;3
4259;FACULDADE DE INHUMAS - FAC-MAIS;FACMAIS;Faculdade;Privada Com Fins Lucrativos;GO;4;1;1,83644074;0;0;0;0;1,83644074;2
4261;FACULDADE DE TECNOLOGIA DE PORTO ALEGRE;FAQI;Faculdade;Privada Com Fins Lucrativos;RS;3;1;2,373979568;0;0;0;0;2,373979568;3
4277;FACULDADE ESTÁCIO DO AMAZONAS - ESTÁCIO AMAZONAS;ESTÁCIO AMAZONAS;Faculdade;Privada Com Fins Lucrativos;AM;12;1;2,378543093;0;0;0;0;2,378543093;3
4289;FACULDADE DO VALE ELVIRA DAYRELL - FAVED;FAVED;Faculdade;Privada Com Fins Lucrativos;MG;3;1;1,535154501;0;0;0;0;1,535154501;2
4293;FACULDADE DE TIETÊ;;Faculdade;Privada Com Fins Lucrativos;SP;4;1;2,648977196;0;0;0;0;2,648977196;3
4294;FACULDADE SENAC JARAGUÁ DO SUL;;Faculdade;Privada Sem Fins Lucrativos;SC;2;1;1,48369949;0;0;0;0;1,48369949;2
4329;FACULDADE DO CENTRO EDUCACIONAL MINEIRO - FACEM;FACEM-BH;Faculdade;Privada Com Fins Lucrativos;MG;2;1;1,652215425;0;0;0;0;1,652215425;2
4330;FACULDADE DE TECNOLOGIA AMÉRICA DO SUL;;Faculdade;Privada Com Fins Lucrativos;PR;1;1;2,765797057;0;0;0;0;2,765797057;3
4356;FACULDADE DE CIÊNCIAS SOCIAIS DOS PALMARES;FACIP;Faculdade;Pessoa Jurídica De Direito Público - Municipal;PE;1;1;1,566854982;0;0;0;0;1,566854982;2
4357;FACULDADE DE TECNOLOGIA ÁLVARES DE AZEVEDO;FAATESP;Faculdade;Pessoa Jurídica De Direito Privado - Com Fins Lucrativos;SP;1;1;1,665042284;0;0;0;0;1,665042284;2
4358;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS;IF SUL DE MINAS;Instituto Federal De Educação, Ciência E Tecnologia;Pública Federal;MG;16;0,986474301;3,037409145;0,013525699;4;0;0;3,050428859;4
4362;FACULDADE PITÁGORAS DE BETIM;PITÁGORAS-BETIM;Faculdade;Privada Com Fins Lucrativos;MG;18;1;2,630879605;0;0;0;0;2,630879605;3
4367;FACULDADE TERRA NORDESTE;FATENE;Faculdade;Privada Com Fins Lucrativos;CE;6;1;2,591947154;0;0;0;0;2,591947154;3
4396;CENTRO UNIVERSITÁRIO DE MINEIROS;UNIFIMES;Centro Universitário;Pública Municipal;GO;9;1;2,385143847;0;0;0;0;2,385143847;3
4399;FACULDADE DE BALSAS;UNIBALSAS;Faculdade;Privada Com Fins Lucrativos;MA;6;1;2,209500376;0;0;0;0;2,209500376;3
4411;FACULDADE PANAMERICANA DE JI-PARANÁ;;Faculdade;Privada Sem Fins Lucrativos;RO;3;1;2,963394424;0;0;0;0;2,963394424;4
4416;FACULDADE JK - UNIDADE I - GAMA;;Faculdade;Privada Com Fins Lucrativos;DF;3;1;1,669290107;0;0;0;0;1,669290107;2
4420;FACULDADES INTEGRADAS BARROS MELO;FIBAM;Faculdade;Privada Com Fins Lucrativos;PE;8;1;2,636398032;0;0;0;0;2,636398032;3
4421;FACULDADE DE TECNOLOGIA SENAI BELO HORIZONTE;FATEC SENAI BH;Faculdade;Privada Sem Fins Lucrativos;MG;1;1;2,101110594;0;0;0;0;2,101110594;3
4428;FACULDADE PROFESSOR MIGUEL ÂNGELO DA SILVA SANTOS;FEMASS;Faculdade;Pública Municipal;RJ;3;1;2,636908723;0;0;0;0;2,636908723;3
4429;FACULDADE UNIGRAN CAPITAL;UNIGRAN CAPITAL;Faculdade;Privada Sem Fins Lucrativos;MS;7;1;3,552903818;0;0;0;0;3,552903818;4
4431;FACULDADE DE ENFERMAGEM NOVA ESPERANÇA DE MOSSORÓ - FACENE/RN;FACENE/RN;Faculdade;Privada Com Fins Lucrativos;RN;1;1;2,833493658;0;0;0;0;2,833493658;3
4435;FACULDADE SÃO PAULO;FASP;Faculdade;Privada Com Fins Lucrativos;SP;1;1;1,943665816;0;0;0;0;1,943665816;2
